step,loss
0,1.010575294494629
1,1.1256012916564941
2,0.9988257884979248
3,0.942296028137207
4,1.118027925491333
5,1.1167488098144531
6,0.9235095381736755
7,0.9571820497512817
8,0.7052162885665894
9,0.921389102935791
10,1.309029459953308
11,0.8638216853141785
12,1.2918546199798584
13,1.216214895248413
14,1.0850270986557007
15,0.9530713558197021
16,0.9771924018859863
17,0.7593392729759216
18,1.1150763034820557
19,1.3415119647979736
20,0.8797348737716675
21,1.0121241807937622
22,0.8881294131278992
23,0.9951785802841187
24,1.0692086219787598
25,0.9916134476661682
26,0.9109516143798828
27,0.8938077688217163
28,0.7515779733657837
29,0.8551384210586548
30,1.0703096389770508
31,0.8937321305274963
32,0.8573261499404907
33,1.099672794342041
34,0.8870434165000916
35,1.1540772914886475
36,0.6882740259170532
37,0.6340583562850952
38,1.1634944677352905
39,0.9479916095733643
40,0.698562741279602
41,1.2102711200714111
42,0.7284968495368958
43,1.0362868309020996
44,0.9745482206344604
45,0.8656141757965088
46,0.9437996745109558
47,0.8498644232749939
48,0.8980240821838379
49,1.1484025716781616
50,1.0569465160369873
51,0.8678321242332458
52,0.9629995822906494
53,1.0948235988616943
54,1.1339622735977173
55,0.9143062829971313
56,1.05056893825531
57,0.9725310206413269
58,1.464262843132019
59,0.7923834919929504
60,0.9261905550956726
61,1.1407852172851562
62,0.8088838458061218
63,0.9669943451881409
64,0.9796183705329895
65,1.0019644498825073
66,1.0937939882278442
67,1.1737613677978516
68,0.7553840279579163
69,1.0545635223388672
70,1.0203559398651123
71,0.8756304383277893
72,0.737302303314209
73,0.9631285071372986
74,0.9124307036399841
75,0.8786841034889221
76,0.9513278603553772
77,0.8381487727165222
78,0.5904372334480286
79,0.8947551250457764
80,1.3690932989120483
81,0.8327164649963379
82,0.984596848487854
83,1.0080921649932861
84,0.6368513107299805
85,0.7664337158203125
86,0.9983726143836975
87,0.9857512712478638
88,1.1612622737884521
89,0.9379381537437439
90,0.812623918056488
91,1.015061855316162
92,0.9972434639930725
93,1.035712480545044
94,0.8538540601730347
95,1.0746374130249023
96,0.7198190689086914
97,1.1036909818649292
98,1.0112931728363037
99,0.8329814076423645
100,0.7814908027648926
101,1.072706699371338
102,1.1736174821853638
103,0.7501280903816223
104,1.1749870777130127
105,0.838506281375885
106,0.9739062786102295
107,0.6367060542106628
108,0.8543857336044312
109,0.94968181848526
110,1.0134185552597046
111,1.1273447275161743
112,0.9181991219520569
113,0.9174220561981201
114,1.094386339187622
115,0.693494439125061
116,0.9452382326126099
117,0.9414131045341492
118,0.8527349829673767
119,0.8235050439834595
120,1.2926656007766724
121,0.7648395895957947
122,0.9651708006858826
123,0.8062579035758972
124,0.9792237877845764
125,0.6286076903343201
126,0.874629557132721
127,1.0656630992889404
128,1.1147857904434204
129,1.1527622938156128
130,1.173098087310791
131,0.9609879851341248
132,1.086524248123169
133,1.0181684494018555
134,0.7605882287025452
135,0.7453400492668152
136,0.9305840730667114
137,0.9333414435386658
138,0.9841708540916443
139,1.0324820280075073
140,0.9949125051498413
141,0.8625251650810242
142,0.8902786374092102
143,0.8328809142112732
144,1.0629572868347168
145,0.9206856489181519
146,1.0219465494155884
147,0.976024329662323
148,0.9135637879371643
149,1.1146929264068604
150,1.1130064725875854
151,0.7287541627883911
152,1.0134855508804321
153,0.593659520149231
154,1.0806719064712524
155,0.9840044379234314
156,1.047247290611267
157,1.0653016567230225
158,0.7339085936546326
159,0.7371523380279541
160,0.8581361770629883
161,0.8976548910140991
162,0.6880406141281128
163,0.9430757761001587
164,1.0551327466964722
165,0.7353140115737915
166,0.8655226826667786
167,1.1507785320281982
168,0.9676927924156189
169,0.8013401627540588
