step,loss
0,0.76171875
1,0.58984375
2,0.53125
3,1.0078125
4,0.7578125
5,0.61328125
6,0.796875
7,0.421875
8,0.9296875
9,0.60546875
10,0.353515625
11,0.7890625
12,0.82421875
13,0.5234375
14,0.431640625
15,0.9453125
16,1.390625
17,0.42578125
18,0.6171875
19,0.6796875
20,1.1953125
21,0.94140625
22,0.7265625
23,0.54296875
24,0.7421875
25,0.6875
26,0.5390625
27,0.94921875
28,0.703125
29,0.423828125
30,0.2001953125
31,0.8046875
32,0.6953125
33,0.60546875
34,0.73828125
35,1.3125
36,0.65625
37,0.7890625
38,0.94921875
39,0.953125
40,0.6875
41,0.87109375
42,0.57421875
43,1.125
44,0.609375
45,0.462890625
46,0.84765625
47,0.671875
48,0.82421875
49,0.73828125
50,0.75
51,0.82421875
52,0.703125
53,1.53125
54,1.1171875
55,0.90234375
56,0.9453125
57,0.5390625
58,0.58984375
59,0.9140625
60,1.0
61,0.6796875
62,1.3515625
63,0.765625
64,0.34765625
65,0.9609375
66,0.58984375
67,1.515625
68,0.83203125
69,0.8203125
70,0.412109375
71,0.2216796875
72,0.63671875
73,1.8359375
74,0.55078125
75,0.921875
76,0.49609375
77,0.71484375
78,0.640625
79,0.86328125
80,0.39453125
81,0.5
82,0.74609375
83,0.8671875
84,0.94921875
85,0.490234375
86,0.921875
87,0.6640625
88,0.9140625
89,1.125
90,0.65625
91,0.625
92,0.6953125
93,0.62890625
94,0.62890625
95,0.77734375
96,0.51171875
97,1.109375
98,0.734375
99,0.5078125
100,0.69140625
101,1.2421875
102,0.78125
103,0.369140625
104,0.6328125
105,0.80859375
106,0.5
107,0.376953125
108,0.427734375
109,0.4765625
110,0.66015625
111,0.5390625
112,0.765625
113,0.390625
114,0.75390625
115,0.4375
116,0.984375
117,0.6953125
118,0.65625
119,0.7734375
120,0.765625
121,0.4765625
122,0.625
123,0.92578125
124,0.435546875
125,1.15625
126,0.72265625
127,0.56640625
128,0.8125
129,0.7265625
130,0.294921875
131,0.65625
132,1.140625
133,0.84765625
134,0.91796875
135,0.66015625
136,0.9921875
137,0.921875
138,0.625
139,0.37109375
140,1.125
141,0.8984375
142,0.61328125
143,0.578125
144,0.484375
145,0.53515625
146,0.53125
147,0.41015625
148,0.578125
149,0.9921875
150,0.90625
151,1.2265625
152,0.5234375
153,0.50390625
154,0.8046875
155,0.32421875
156,0.99609375
157,0.67578125
158,0.921875
159,0.78125
160,0.474609375
161,0.703125
162,0.4609375
163,0.5703125
164,0.50390625
165,1.234375
166,0.478515625
167,0.51171875
168,0.52734375
169,0.39453125
170,0.59375
171,0.859375
172,0.671875
173,0.3828125
174,0.72265625
175,0.6796875
176,0.82421875
177,0.6953125
178,0.55859375
179,0.609375
180,0.8359375
181,0.65625
182,1.375
183,1.1484375
184,0.50390625
185,0.6171875
186,0.76953125
187,0.890625
188,0.95703125
189,0.5234375
190,0.71875
191,0.91796875
192,0.86328125
193,0.89453125
194,1.0859375
195,0.8671875
196,1.578125
197,0.5
198,0.58203125
199,0.421875
200,0.91015625
201,0.5703125
202,1.0703125
203,0.478515625
204,0.65234375
205,0.875
206,0.87109375
207,0.859375
208,0.578125
209,1.0546875
210,0.6640625
211,1.0625
212,0.796875
213,0.640625
214,0.87109375
215,0.98828125
216,0.69921875
217,0.4296875
218,0.34375
219,0.69921875
220,0.416015625
221,0.53125
222,0.58203125
223,0.6484375
224,0.49609375
225,1.0078125
226,0.60546875
227,0.546875
